ad_group_id,campaign_id,ad_group_name,audience_id,channel,bid_strategy,avg_bid,weekly_budget_allocated,weekly_budget_spent,impressions,clicks,conversions,conversion_value,ctr,cvr,roas,week
58,12,AG_12_3,AUD10,Display,Manual CPC,9.98,167837.39,150444.11,1118005,8840,453,6994449.47,0.0079,0.0513,46.492,1
59,12,AG_12_4,AUD2,Display,Manual CPC,7.74,110166.53,94425.73,597435,4536,238,1996719.67,0.0076,0.0526,21.146,1
60,12,AG_12_5,AUD2,Display,tROAS,5.22,142347.05,142036.49,1179069,10571,625,9197423.39,0.009,0.0592,64.754,1
61,13,AG_13_1,AUD4,Display,Max Conversions,11.94,188426.72,197427.5,1903364,17142,1068,14294058.38,0.009,0.0623,72.402,1
62,13,AG_13_2,AUD4,Display,Manual CPC,5.13,238298.56,215282.49,1964888,16253,1163,10721458.61,0.0083,0.0716,49.802,1
63,13,AG_13_3,AUD7,Display,Manual CPC,8.89,233909.08,198850.69,1856836,15065,903,8913732.16,0.0081,0.06,44.826,1
64,13,AG_13_4,AUD2,Display,Manual CPC,10.88,159062.14,146759.41,1452277,13212,908,12140335.14,0.0091,0.0687,82.723,1
65,13,AG_13_5,AUD2,Display,Manual CPC,5.87,168204.21,153000.78,1393444,12618,765,10977035.94,0.0091,0.0607,71.745,1
66,14,AG_14_1,AUD6,Video,Manual CPC,13.74,673207.6,597825.68,1930349,10862,381,3988922.05,0.0056,0.0351,6.672,1
67,14,AG_14_2,AUD7,Video,Manual CPC,7.79,366677.34,349207.39,1258606,8368,286,4828227.26,0.0066,0.0342,13.826,1
68,14,AG_14_3,AUD1,Video,Max Conversions,7.75,534437.56,548163.62,1694179,10298,337,5058152.18,0.0061,0.0328,9.227,1
69,14,AG_14_4,AUD1,Video,tROAS,9.4,534313.32,539276.08,1879425,10755,349,3097188.29,0.0057,0.0325,5.743,1
70,14,AG_14_5,AUD9,Video,Manual CPC,9.53,375769.47,339995.33,1088514,6492,189,1850489.44,0.006,0.0292,5.443,1
71,15,AG_15_1,AUD3,Social,Max Conversions,17.68,82562.66,78495.43,387468,7047,225,2875857.58,0.0182,0.032,36.637,1
72,15,AG_15_2,AUD1,Social,Max Conversions,10.69,58518.71,51449.9,260738,4989,164,2637559.87,0.0191,0.033,51.265,1
73,15,AG_15_3,AUD1,Social,tROAS,12.42,75821.5,74629.68,359347,6796,226,3055376.18,0.0189,0.0334,40.94,1
74,15,AG_15_4,AUD1,Social,tROAS,18.24,58737.29,52716.52,361505,6550,219,2545879.35,0.0181,0.0334,48.294,1
75,15,AG_15_5,AUD10,Social,Manual CPC,14.12,58572.23,55307.51,322630,5749,181,1808815.34,0.0178,0.0316,32.705,1
76,16,AG_16_1,AUD1,Search,tROAS,21.58,171834.58,147975.04,601705,10951,435,4120160.14,0.0182,0.0398,27.844,1
77,16,AG_16_2,AUD8,Search,tROAS,24.84,161273.7,164464.47,751639,14871,625,5696798.05,0.0198,0.0421,34.638,1
78,16,AG_16_3,AUD2,Search,Max Conversions,21.62,221649.89,199051.33,892778,15232,711,10870264.31,0.0171,0.0467,54.61,1
79,16,AG_16_4,AUD5,Search,Max Conversions,18.65,157482.48,161899.45,839143,15633,690,9514860.71,0.0186,0.0442,58.77,1
80,16,AG_16_5,AUD1,Search,Max Conversions,20.28,241387.6,209384.88,995032,17647,785,12790673.43,0.0177,0.0445,61.087,1
81,17,AG_17_1,AUD4,Display,Manual CPC,7.54,147705.35,142357.1,1134099,6410,122,2011135.56,0.0057,0.019,14.127,1
82,17,AG_17_2,AUD6,Display,Manual CPC,5.14,138830.88,134704.38,1309993,6945,140,1744337.76,0.0053,0.0202,12.949,1
83,17,AG_17_3,AUD10,Display,tROAS,8.82,130011.65,122220.06,896522,5374,97,1502888.35,0.006,0.0181,12.297,1
84,17,AG_17_4,AUD1,Display,tROAS,9.29,124209.44,117618.62,1402126,7540,146,1745835.41,0.0054,0.0194,14.843,1
85,17,AG_17_5,AUD2,Display,Manual CPC,5.01,146835.39,140229.25,1029103,5943,106,1066338.84,0.0058,0.0178,7.604,1
86,18,AG_18_1,AUD7,Display,Manual CPC,11.57,75216.32,69318.77,655613,4878,70,1159875.09,0.0074,0.0145,16.732,1
87,18,AG_18_2,AUD6,Display,Max Conversions,11.28,124564.36,125056.3,855795,6647,95,825018.67,0.0078,0.0143,6.597,1
88,18,AG_18_3,AUD5,Display,Manual CPC,6.45,81205.54,82701.46,649003,4885,68,941065.12,0.0075,0.014,11.379,1
89,18,AG_18_4,AUD3,Display,Manual CPC,8.75,79812.38,80240.15,539258,4265,55,828632.27,0.0079,0.013,10.327,1
90,18,AG_18_5,AUD7,Display,tROAS,8.05,87352.22,77948.68,906759,7360,109,1598950.92,0.0081,0.0149,20.513,1
91,19,AG_19_1,AUD3,Search,tROAS,21.63,466768.65,483587.74,2061118,30702,743,6845281.28,0.0149,0.0242,14.155,1
92,19,AG_19_2,AUD1,Search,Max Conversions,19.49,404560.3,348513.35,2005912,34204,855,11821966.55,0.0171,0.025,33.921,1
93,19,AG_19_3,AUD5,Search,Manual CPC,21.36,467264.06,414349.64,2072602,30683,674,8141175.96,0.0148,0.022,19.648,1
94,19,AG_19_4,AUD6,Search,tROAS,27.0,469070.13,474994.27,2624779,41956,973,16112890.46,0.016,0.0232,33.922,1
95,19,AG_19_5,AUD6,Search,Manual CPC,18.44,424484.4,390271.16,1556424,25473,569,8746283.44,0.0164,0.0224,22.411,1
96,20,AG_20_1,AUD8,Display,Manual CPC,11.81,107691.79,111364.85,1392143,13096,177,1567163.36,0.0094,0.0136,14.072,1
97,20,AG_20_2,AUD10,Display,Max Conversions,10.92,95594.25,86634.21,769503,7297,104,1307090.52,0.0095,0.0143,15.087,1
98,20,AG_20_3,AUD7,Display,Manual CPC,5.37,96779.77,92035.85,627539,5718,71,593887.35,0.0091,0.0126,6.453,1
99,20,AG_20_4,AUD2,Display,Max Conversions,8.14,90837.22,78031.92,753711,6443,86,722333.38,0.0085,0.0134,9.257,1
100,20,AG_20_5,AUD2,Display,tROAS,11.95,108453.93,106366.99,1041590,10068,129,1553471.72,0.0097,0.0129,14.605,1
101,21,AG_21_1,AUD7,Video,tROAS,10.34,550921.27,563600.3,2202539,8810,88,1104971.6,0.004,0.01,1.961,1
102,21,AG_21_2,AUD6,Video,tROAS,7.48,359523.96,317801.86,1953106,7812,78,1050913.25,0.004,0.01,3.307,1
103,21,AG_21_3,AUD5,Video,tROAS,14.67,355324.81,326420.95,1035609,4154,41,334571.54,0.004,0.01,1.025,1
104,21,AG_21_4,AUD5,Video,Max Conversions,12.9,451304.76,390804.2,1497999,6082,60,829032.92,0.0041,0.01,2.121,1
105,21,AG_21_5,AUD3,Video,Max Conversions,12.03,433417.91,385044.6,1262551,5050,50,638161.18,0.004,0.01,1.657,1
106,22,AG_22_1,AUD1,Social,tROAS,13.26,220267.98,195335.62,993257,13438,258,2168061.34,0.0135,0.0192,11.099,1
107,22,AG_22_2,AUD9,Social,tROAS,10.21,331016.43,295206.9,2087439,31488,582,7946720.77,0.0151,0.0185,26.919,1
108,22,AG_22_3,AUD3,Social,tROAS,16.21,172937.21,160213.63,968102,13872,255,3658118.99,0.0143,0.0184,22.833,1
109,22,AG_22_4,AUD1,Social,Max Conversions,12.76,193172.35,200334.96,1117225,16557,302,5249307.14,0.0148,0.0183,26.203,1
110,22,AG_22_5,AUD6,Social,tROAS,13.99,206367.78,201310.45,1042262,13524,240,2664737.08,0.013,0.0178,13.237,1
111,23,AG_23_1,AUD3,Video,Max Conversions,13.22,254801.26,232097.98,689124,5933,178,2095419.17,0.0086,0.03,9.028,1
112,23,AG_23_2,AUD2,Video,Manual CPC,10.4,322721.33,329208.31,1123244,9551,250,3482640.47,0.0085,0.0262,10.579,1
113,23,AG_23_3,AUD8,Video,tROAS,9.6,342091.63,306399.93,1931619,15854,405,4676929.02,0.0082,0.0256,15.264,1
114,23,AG_23_4,AUD7,Video,Max Conversions,9.7,311881.65,320261.5,1899888,16191,436,6544785.48,0.0085,0.027,20.436,1
115,23,AG_23_5,AUD7,Video,Max Conversions,10.63,249796.27,258987.68,1637942,13535,389,4320682.63,0.0083,0.0288,16.683,1
116,24,AG_24_1,AUD4,Display,Max Conversions,7.7,144491.53,143545.46,1259640,12321,211,2690478.65,0.0098,0.0171,18.743,1
117,24,AG_24_2,AUD10,Display,Manual CPC,10.09,133262.32,131639.74,1030364,9256,147,1220711.34,0.009,0.0159,9.273,1
118,24,AG_24_3,AUD2,Display,tROAS,11.01,138365.8,133043.94,1736989,15876,263,3338539.99,0.0091,0.0166,25.094,1
119,24,AG_24_4,AUD2,Display,Max Conversions,7.63,90602.58,86311.46,726348,6226,97,849042.39,0.0086,0.0156,9.837,1
120,24,AG_24_5,AUD3,Display,tROAS,11.89,102885.14,107785.02,885076,8700,149,2249410.3,0.0098,0.0172,20.869,1
121,25,AG_25_1,AUD4,Search,Max Conversions,18.23,269671.31,235943.38,880114,23485,2162,18313402.16,0.0267,0.0921,77.618,1
122,25,AG_25_2,AUD1,Search,tROAS,23.19,284063.88,265790.15,1720402,39323,4159,70424533.9,0.0229,0.1058,264.963,1
123,25,AG_25_3,AUD7,Search,Manual CPC,18.69,349041.1,314197.97,1536863,41161,4127,72031487.98,0.0268,0.1003,229.255,1
124,25,AG_25_4,AUD1,Search,Max Conversions,27.88,189293.56,181619.78,648300,16335,1584,27753959.65,0.0252,0.097,152.814,1
125,25,AG_25_5,AUD4,Search,Max Conversions,21.11,351106.73,302300.52,1207639,28484,2828,37059812.51,0.0236,0.0993,122.593,1
1,1,AG_1_1,AUD2,Social,Manual CPC,17.94,336869.02,344932.41,2150536,46373,3577,41035063.83,0.0216,0.0772,118.966,2
2,1,AG_1_2,AUD4,Social,tROAS,15.34,572776.76,564724.06,3260513,78204,6705,55251964.97,0.024,0.0857,97.839,2
3,1,AG_1_3,AUD9,Social,Max Conversions,10.56,518570.31,462890.6,2443388,51007,4451,39924524.72,0.0209,0.0873,86.25,2
4,1,AG_1_4,AUD2,Social,Manual CPC,19.9,548584.97,520972.82,2731491,60717,5114,67257641.83,0.0222,0.0842,129.1,2
5,1,AG_1_5,AUD3,Social,Max Conversions,14.84,410202.69,412020.06,2936991,62738,5016,79342076.07,0.0214,0.08,192.568,2
6,2,AG_2_1,AUD7,Search,Max Conversions,18.11,266751.29,244988.09,902671,23439,2684,28473193.76,0.026,0.1145,116.223,2
7,2,AG_2_2,AUD6,Search,Max Conversions,28.42,256084.08,240489.47,883630,26049,2765,37858558.71,0.0295,0.1062,157.423,2
8,2,AG_2_3,AUD3,Search,tROAS,19.49,323735.19,317907.53,1424965,37300,4336,65827762.21,0.0262,0.1163,207.066,2
9,2,AG_2_4,AUD6,Search,Manual CPC,24.31,329005.7,295949.29,1582832,47559,5379,60298431.09,0.03,0.1131,203.746,2
10,2,AG_2_5,AUD10,Search,Manual CPC,18.57,216230.44,188965.12,927796,27138,2880,44562169.66,0.0293,0.1062,235.822,2
11,3,AG_3_1,AUD4,Video,Manual CPC,14.85,442528.25,393164.92,2100156,15274,1039,14302302.45,0.0073,0.0681,36.377,2
12,3,AG_3_2,AUD3,Video,Manual CPC,14.88,469593.52,399408.83,1224200,9057,561,7248636.18,0.0074,0.062,18.148,2
13,3,AG_3_3,AUD3,Video,Max Conversions,14.58,407318.73,414782.6,3028565,22247,1444,13483756.41,0.0073,0.0649,32.508,2
14,3,AG_3_4,AUD3,Video,tROAS,8.44,361755.12,342477.18,1748620,13925,879,13320050.57,0.008,0.0632,38.893,2
15,3,AG_3_5,AUD9,Video,Manual CPC,13.2,471529.81,467194.7,2449234,17739,1337,23459889.19,0.0072,0.0754,50.214,2
16,4,AG_4_1,AUD6,Display,tROAS,5.09,216581.69,215135.19,1951776,41029,3687,57023260.16,0.021,0.0899,265.058,2
17,4,AG_4_2,AUD10,Display,Manual CPC,9.85,277631.86,253357.63,3127945,60122,5776,65232946.59,0.0192,0.0961,257.474,2
18,4,AG_4_3,AUD9,Display,Manual CPC,5.37,238985.65,209688.53,1588436,37125,3930,64915360.31,0.0234,0.1059,309.58,2
19,4,AG_4_4,AUD5,Display,Max Conversions,8.32,273670.03,265989.86,1719522,38488,3817,41019996.25,0.0224,0.0992,154.216,2
20,4,AG_4_5,AUD2,Display,Max Conversions,8.14,250767.24,249373.78,2730332,60679,5872,48566204.17,0.0222,0.0968,194.753,2
21,5,AG_5_1,AUD6,Display,Max Conversions,8.19,168590.38,147503.55,1068711,20505,2460,27009691.31,0.0192,0.12,183.112,2
22,5,AG_5_2,AUD5,Display,tROAS,10.84,149765.91,130482.47,1031327,21075,2529,36516432.23,0.0204,0.12,279.857,2
23,5,AG_5_3,AUD10,Display,Max Conversions,8.49,154611.79,139631.69,972349,20081,2409,40138365.55,0.0207,0.12,287.459,2
24,5,AG_5_4,AUD9,Display,Max Conversions,8.67,112248.44,105109.68,661829,11818,1418,18271532.17,0.0179,0.12,173.833,2
25,5,AG_5_5,AUD10,Display,Manual CPC,9.35,112420.62,116033.03,972201,19770,2372,26465433.51,0.0203,0.12,228.085,2
26,6,AG_6_1,AUD3,Video,Manual CPC,12.39,676473.07,593356.38,2978859,51889,4361,71301206.79,0.0174,0.084,120.166,2
27,6,AG_6_2,AUD1,Video,Max Conversions,14.38,922353.12,834747.82,2947334,51856,4062,43834279.72,0.0176,0.0783,52.512,2
28,6,AG_6_3,AUD1,Video,Max Conversions,12.13,1057143.56,914420.73,4804188,74534,5542,49422314.95,0.0155,0.0744,54.048,2
29,6,AG_6_4,AUD10,Video,tROAS,6.87,808420.66,774336.2,4214615,70836,5927,60020612.26,0.0168,0.0837,77.512,2
30,6,AG_6_5,AUD6,Video,tROAS,6.59,572467.33,535473.88,2437658,40107,3173,42052348.53,0.0165,0.0791,78.533,2
31,7,AG_7_1,AUD5,Video,Manual CPC,6.51,553903.96,579499.29,2208854,27221,2564,28381712.71,0.0123,0.0942,48.976,2
32,7,AG_7_2,AUD5,Video,tROAS,10.13,332470.1,326187.08,2241611,28257,2759,34460951.81,0.0126,0.0977,105.648,2
33,7,AG_7_3,AUD7,Video,Max Conversions,10.02,541402.31,539975.87,2234063,24320,2395,27588718.01,0.0109,0.0985,51.093,2
34,7,AG_7_4,AUD9,Video,Max Conversions,9.94,351350.6,305807.04,982116,12127,999,16420850.64,0.0123,0.0824,53.697,2
35,7,AG_7_5,AUD7,Video,Manual CPC,9.61,445289.1,430374.92,1594390,19566,1903,18829108.53,0.0123,0.0973,43.75,2
36,8,AG_8_1,AUD8,Social,Max Conversions,13.5,174457.0,177609.37,1327223,34162,4099,46185027.12,0.0257,0.12,260.037,2
37,8,AG_8_2,AUD9,Social,Max Conversions,16.89,214586.07,201313.45,1471773,38950,4674,79136136.27,0.0265,0.12,393.099,2
38,8,AG_8_3,AUD3,Social,Max Conversions,11.06,125541.85,109971.07,628176,17412,2089,20557876.65,0.0277,0.12,186.939,2
39,8,AG_8_4,AUD8,Social,Max Conversions,14.97,175988.78,160935.58,744200,19486,2338,34434804.91,0.0262,0.12,213.966,2
40,8,AG_8_5,AUD8,Social,tROAS,17.12,142496.24,139374.07,1004779,23113,2773,26801143.36,0.023,0.12,192.296,2
41,9,AG_9_1,AUD1,Social,tROAS,19.12,123642.32,117321.0,522767,10922,1158,15061174.18,0.0209,0.1061,128.376,2
42,9,AG_9_2,AUD10,Social,tROAS,19.28,125361.58,128998.99,705490,16925,1704,29166224.85,0.024,0.1007,226.097,2
43,9,AG_9_3,AUD1,Social,tROAS,18.79,101376.89,106119.93,459061,11014,1101,11659167.27,0.024,0.1,109.868,2
44,9,AG_9_4,AUD1,Social,tROAS,16.77,111040.44,108965.38,482900,11879,1186,20704181.19,0.0246,0.0999,190.007,2
45,9,AG_9_5,AUD3,Social,Manual CPC,11.07,145966.65,126145.47,604466,13799,1395,18319984.04,0.0228,0.1011,145.229,2
46,10,AG_10_1,AUD9,Video,Max Conversions,9.19,299337.76,292957.61,1484941,13160,1504,24386927.64,0.0089,0.1144,83.244,2
47,10,AG_10_2,AUD3,Video,Manual CPC,9.88,358638.95,321297.0,1574882,13511,1311,12745508.96,0.0086,0.097,39.669,2
48,10,AG_10_3,AUD3,Video,Max Conversions,12.18,476066.78,499072.65,2972107,29205,3374,60246168.76,0.0098,0.1155,120.716,2
49,10,AG_10_4,AUD3,Video,Max Conversions,9.94,467549.6,407425.45,1450419,13449,1454,17886275.32,0.0093,0.1082,43.901,2
50,10,AG_10_5,AUD2,Video,Max Conversions,10.27,410880.16,357329.73,1659117,17181,1716,24437786.29,0.0104,0.0999,68.39,2
51,11,AG_11_1,AUD2,Social,Manual CPC,13.75,121645.11,125591.48,715391,13016,1269,10508861.91,0.0182,0.0975,83.675,2
52,11,AG_11_2,AUD10,Social,Max Conversions,10.46,139041.38,120842.51,626105,13122,1316,12817325.28,0.021,0.1003,106.066,2
53,11,AG_11_3,AUD5,Social,Max Conversions,19.65,180465.04,163127.04,888352,16008,1425,20845751.97,0.018,0.089,127.788,2
54,11,AG_11_4,AUD2,Social,tROAS,15.22,104772.5,105192.04,630918,11690,996,15282126.35,0.0185,0.0852,145.278,2
55,11,AG_11_5,AUD7,Social,tROAS,14.16,121986.19,123595.33,718619,13309,1362,19472290.57,0.0185,0.1024,157.549,2
56,12,AG_12_1,AUD2,Display,Max Conversions,11.5,252402.59,255979.08,2346643,33912,1453,20062567.52,0.0145,0.0429,78.376,2
57,12,AG_12_2,AUD6,Display,tROAS,8.5,168439.31,159449.18,1930680,33577,1514,23510110.77,0.0174,0.0451,147.446,2
58,12,AG_12_3,AUD1,Display,Manual CPC,11.24,202546.68,184312.39,2296933,39038,1754,20877783.9,0.017,0.045,113.274,2
59,12,AG_12_4,AUD2,Display,Max Conversions,6.94,218926.98,196981.61,1275904,20745,871,12574799.51,0.0163,0.042,63.837,2
60,12,AG_12_5,AUD8,Display,Manual CPC,9.65,173298.49,153291.41,1335631,23124,1006,15264770.11,0.0173,0.0435,99.58,2
61,13,AG_13_1,AUD1,Display,tROAS,10.22,80153.01,83286.91,661650,4318,208,3225131.86,0.0065,0.0483,38.723,2
62,13,AG_13_2,AUD5,Display,tROAS,9.4,68826.55,68581.79,756681,5000,242,2508863.55,0.0066,0.0485,36.582,2
63,13,AG_13_3,AUD10,Display,Manual CPC,5.39,75038.73,72752.04,500293,3275,153,2296750.66,0.0065,0.0468,31.57,2
64,13,AG_13_4,AUD8,Display,Max Conversions,8.16,64978.39,68170.72,598332,3936,219,3505791.64,0.0066,0.0557,51.427,2
65,13,AG_13_5,AUD10,Display,tROAS,8.24,75768.38,75303.17,559579,3428,167,2724980.13,0.0061,0.0489,36.187,2
66,14,AG_14_1,AUD5,Video,tROAS,10.02,380813.66,371791.76,1355155,8326,217,3087810.28,0.0061,0.0261,8.305,2
67,14,AG_14_2,AUD10,Video,tROAS,9.44,325634.64,280098.06,1258186,8615,265,2451859.57,0.0068,0.0309,8.754,2
68,14,AG_14_3,AUD9,Video,Manual CPC,11.83,488827.67,480655.18,2445316,14204,440,4289053.95,0.0058,0.031,8.923,2
69,14,AG_14_4,AUD8,Video,Manual CPC,8.23,424951.72,427231.28,1552902,10552,274,3098706.46,0.0068,0.026,7.253,2
70,14,AG_14_5,AUD10,Video,tROAS,8.11,346445.6,345240.85,1146474,6846,185,2240585.46,0.006,0.0272,6.49,2
71,15,AG_15_1,AUD10,Social,Max Conversions,19.8,176048.12,174372.33,1109143,18694,586,7078515.62,0.0169,0.0314,40.594,2
72,15,AG_15_2,AUD5,Social,Manual CPC,18.11,280006.62,272518.72,2242805,33063,942,14786869.96,0.0147,0.0285,54.26,2
